object_id,title,category,department,classification,culture,period,object_date,object_begin,object_end,medium,artist_name,artist_nationality,artist_begin,artist_end,accession_year,tags
310453,Nkishi (community power figure),eastern,The Michael C. Rockefeller Wing,Wood-Sculpture,Songye peoples,,19th–first half of 20th century,1800,1950,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Songye artist and nganga (ritual specialist),,,,1978,"[""Men"", ""Ritual Objects""]"
39742,"The Deity Vajrabhairava, Tantric Form of the Bodhisattva Manjushri",eastern,Asian Art,Textiles-Embroidered,China,Ming dynasty (1368–1644),early 15th century,1400,1433,Silk embroidery with metal thread and horsehair on silk satin,,,,,1993,"[""Animals"", ""Birds"", ""Deities"", ""Demons""]"
472562,The Fieschi Morgan Staurotheke,western,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]"
317877,Processional Cross,western,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,,14th–15th century,1300,1500,Brass,Northern Highlands artist,,,,1998,
208302,Dish with flowers and birds,eastern,European Sculpture and Decorative Arts,Ceramics-Porcelain-Export,,,18th century,1700,1799,Hard-paste porcelain (Jingdezhen ware),,,,,1995,"[""Birds"", ""Flowers""]"
49068,Bamboo in Snow,eastern,Asian Art,Paintings,Japan,Edo period (1615–1868),1774,1771,1774,Pair of hanging scrolls; ink on silk,Dapeng Zhengkun (Taihō Shōkon),Chinese,1691,1774,1975,"[""Bamboo""]"
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",western,Drawings and Prints,Prints,,,ca. 1890–96,1885,1895,Type-metal engraving and letterpress,José Guadalupe Posada,Mexican,1852,1913,1946,"[""Skeletons"", ""Women""]"
200668,Sabine Houdon (1787–1836),western,European Sculpture and Decorative Arts,Sculpture,,,1788,1788,1788,White marble on gray marble socle,Jean Antoine Houdon,French,1741,1828,1950,"[""Girls"", ""Portraits""]"
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,eastern,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472,1498,1975,"[""Men"", ""Portraits"", ""Profiles""]"
442488,The Agony in the Garden,eastern,European Paintings,Paintings,,,1626–27,1626,1627,Oil on copper,Nicolas Poussin,French,1594,1665,2021,"[""Angels"", ""Christ"", ""Agony in the Garden""]"
459027,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; (verso: oil and gold on wood),Jacometto (Jacometto Veneziano),Italian,1472,1498,1975,"[""Portraits"", ""Women""]"
206965,Longcase astronomical regulator,eastern,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727,1807,1982,
317877,Processional Cross,western,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,,14th–15th century,1300,1500,Brass,Northern Highlands artist,,,,1998,
206965,Longcase astronomical regulator,eastern,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727,1807,1982,
38452,The Death of the Buddha (Parinirvana),eastern,Asian Art,Sculpture,Pakistan (ancient region of Gandhara),Kushan period,ca. 3rd century,200,299,Schist,,,,,2015,"[""Gandhara"", ""Sadness"", ""Men"", ""Buddhism"", ""Buddha"", ""Death""]"
544740,Yuny and His Wife Renenutet,western,Egyptian Art,,,"New Kingdom, Ramesside",ca. 1294–1279 B.C.,-1294,-1279,"Limestone, paint",,,,,1915,"[""Couples"", ""Men"", ""Women"", ""Hieroglyphs""]"
281977,Mestanskeho Pivovaru,eastern,Photographs,Photographs,,,1994–96,1994,1996,Gelatin silver print,Patrick Faigenbaum,French,1954,9999,1996,"[""Men"", ""Portraits""]"
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,eastern,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472,1498,1975,"[""Men"", ""Portraits"", ""Profiles""]"
436570,The Adoration of the Shepherds,western,European Paintings,Paintings,,,ca. 1605–10,1605,1610,Oil on canvas,El Greco (Domenikos Theotokopoulos),Greek,1540,1614,1905,"[""Cows"", ""Lambs"", ""Virgin Mary"", ""Jesus"", ""Adoration of the Shepherds""]"
436440,Cottage Children (The Wood Gatherers),western,European Paintings,Paintings,,,1787,1787,1787,Oil on canvas,Thomas Gainsborough,British,1727,1788,1950,"[""Children"", ""Boys"", ""Girls""]"
472562,The Fieschi Morgan Staurotheke,western,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]"
459027,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; (verso: oil and gold on wood),Jacometto (Jacometto Veneziano),Italian,1472,1498,1975,"[""Portraits"", ""Women""]"
544740,Yuny and His Wife Renenutet,western,Egyptian Art,,,"New Kingdom, Ramesside",ca. 1294–1279 B.C.,-1294,-1279,"Limestone, paint",,,,,1915,"[""Couples"", ""Men"", ""Women"", ""Hieroglyphs""]"
546127,Uraeus fitting from shrine,western,Egyptian Art,,,Late Period–Ptolemaic Period,664–30 B.C.,-664,-30,Cupreous metal,,,,,1941,"[""Serpents""]"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",eastern,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]"
472562,The Fieschi Morgan Staurotheke,western,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]"
195332,Desk (Secretary),western,European Sculpture and Decorative Arts,Woodwork-Furniture,,,ca. 1730–35,1725,1740,"Pine; carved, painted, gilded, and varnished linden wood decorated with colored decoupage prints; mirror glass; the inside of the fall front lined with silk not original to the secretary",,,,,1925,"[""Men"", ""Women"", ""Horses""]"
310453,Nkishi (community power figure),eastern,The Michael C. Rockefeller Wing,Wood-Sculpture,Songye peoples,,19th–first half of 20th century,1800,1950,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Songye artist and nganga (ritual specialist),,,,1978,"[""Men"", ""Ritual Objects""]"
317877,Processional Cross,western,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,,14th–15th century,1300,1500,Brass,Northern Highlands artist,,,,1998,
206965,Longcase astronomical regulator,eastern,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727,1807,1982,
206989,Commode à vantaux,eastern,European Sculpture and Decorative Arts,Woodwork-Furniture,,,ca. 1775–79 with later alterations,1770,1784,"Oak, pine, walnut, mahogany, and cherry veneered with hornbeam (partially stained), tulipwood, walnut, holly and maple (both partially stained), boxwood, mahogany, and other woods; red brocatelle marble; gilt bronze; iron, steel, and brass",David Roentgen,German,1743,1807,1982,"[""Men"", ""Women"", ""Dogs""]"
