object_id,title,category,department,classification,culture,period,object_date,object_begin,object_end,medium,artist_name,artist_nationality,artist_begin,artist_end,accession_year,tags,score,matched,total,coverage,matched_words
436244,Virgin and Child with Saint Anne,eastern,European Paintings,Paintings,,,probably 1519,1519,1519,Oil on linden,Albrecht Dürer,German,1471.0,1528.0,1914,"[""Madonna and Child"", ""Saint Anne""]",5.986666666666667,6,6,1.0,"['virgin', 'and', 'child', 'with', 'saint', 'anne']"
544320,Stela of the Steward Mentuwoser,eastern,Egyptian Art,,,Middle Kingdom,ca. 1944 B.C.,-1944,-1944,"Limestone, paint",,,,,1912,"[""Food"", ""Men"", ""Hieroglyphs""]",4.960000000000001,2,5,0.4,"['of', 'the']"
435997,The Storm,western,European Paintings,Paintings,,,1880,1880,1880,Oil on canvas,Pierre-Auguste Cot,French,1837.0,1883.0,1887,"[""Men"", ""Women""]",4.62,2,2,1.0,"['the', 'storm']"
472562,The Fieschi Morgan Staurotheke,eastern,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]",5.11,2,4,0.5,"['the', 'morgan']"
437261,The Penitence of Saint Jerome,western,European Paintings,Paintings,,,ca. 1515,1510,1520,Oil on wood,Joachim Patinir,Netherlandish,1515.0,1524.0,1936,"[""Landscapes"", ""Saint Jerome"", ""Saint John the Baptist"", ""Jesus"", ""Baptism of Christ""]",5.32,4,5,0.8,"['the', 'of', 'saint', 'jerome']"
544453,Head from a Statue of King Amenhotep I,western,Egyptian Art,,,New Kingdom,ca. 1525–1504 B.C.,-1525,-1525,"Sandstone, paint",,,,,1926,"[""Kings"", ""Heads"", ""Men""]",5.57,6,8,0.75,"['head', 'from', 'a', 'of', 'king', 'i']"
329077,Head of a ruler,western,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]",5.38,3,4,0.75,"['head', 'of', 'a']"
310453,Nkishi (community power figure),western,The Michael C. Rockefeller Wing,Wood-Sculpture,Songye peoples,,19th–first half of 20th century,1800,1950,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Songye artist and nganga (ritual specialist),,,,1978,"[""Men"", ""Ritual Objects""]",6.153333333333333,3,4,0.75,"['community', 'power', 'figure']"
317877,Processional Cross,western,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,,14th–15th century,1300,1500,Brass,Northern Highlands artist,,,,1998,,4.68,1,2,0.5,['cross']
329077,Head of a ruler,western,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]",5.38,3,4,0.75,"['head', 'of', 'a']"
472562,The Fieschi Morgan Staurotheke,eastern,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]",5.11,2,4,0.5,"['the', 'morgan']"
200668,Sabine Houdon (1787–1836),eastern,European Sculpture and Decorative Arts,Sculpture,,,1788,1788,1788,White marble on gray marble socle,Jean Antoine Houdon,French,1741.0,1828.0,1950,"[""Girls"", ""Portraits""]",,0,4,0.0,[]
544740,Yuny and His Wife Renenutet,eastern,Egyptian Art,,,"New Kingdom, Ramesside",ca. 1294–1279 B.C.,-1294,-1279,"Limestone, paint",,,,,1915,"[""Couples"", ""Men"", ""Women"", ""Hieroglyphs""]",5.8,3,5,0.6,"['and', 'his', 'wife']"
206965,Longcase astronomical regulator,western,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727.0,1807.0,1982,,,0,3,0.0,[]
