title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term,score,matched,total,coverage,matched_words
The Nativity with Donors and Saints Jerome and Leonard,Gerard David,ca. 1510–15,"Oil on canvas, transferred from wood",Paintings,European Paintings,,,,,Painting,436099,True,1949.0,"The Nativity with Donors and Saints Jerome and Leonard Oil on canvas, transferred from wood",91,other,5.444166666666667,12,15,0.8,"['the', 'with', 'and', 'saints', 'jerome', 'and', 'leonard', 'oil', 'on', 'transferred', 'from', 'wood']"
Head of Christ (Ecce Homo),Petrus Christus,ca. 1445,"Oil on parchment, laid down on wood",Paintings,European Paintings,,,,,Painting,435897,True,1960.0,"Head of Christ (Ecce Homo) Oil on parchment, laid down on wood",62,other,5.360000000000001,9,12,0.75,"['head', 'of', 'christ', 'oil', 'on', 'laid', 'down', 'on', 'wood']"
Camille Monet (1847–1879) on a Garden Bench,Claude Monet,1873,Oil on canvas,Paintings,European Paintings,,,,,Painting,438003,False,2002.0,Camille Monet (1847–1879) on a Garden Bench Oil on canvas,57,other,5.63,6,11,0.5454545454545454,"['on', 'a', 'garden', 'bench', 'oil', 'on']"
"Statuette of a hippo goddess, probably Taweret",,332–30 BCE,Glassy faience,,Egyptian Art,,Ptolemaic Period,,,Statuette of Taweret,544864,True,1926.0,"Statuette of a hippo goddess, probably Taweret Glassy faience",61,other,5.273333333333333,3,9,0.3333333333333333,"['of', 'a', 'probably']"
"The Holy Land, Syria, Idumea, Arabia, Egypt & Nubia",David Roberts,1842–49,Illustrated books,,The Libraries,"London : F. G. Moon, 1842–49",,,,,591848,False,,"The Holy Land, Syria, Idumea, Arabia, Egypt & Nubia Illustrated books",69,other,6.154285714285714,7,10,0.7,"['the', 'holy', 'land', 'arabia', 'egypt', 'illustrated', 'books']"
Seal Stone,,10th–11th century,Lapis lazuli,Seals,Islamic Art,,,,,Seal,449311,True,1938.0,Seal Stone Lapis lazuli,23,other,5.45,2,4,0.5,"['seal', 'stone']"
Curved Ear Ornament (Kapeu),,18th–early 19th century,Greenstone (nephrite),Stone-Ornaments,The Michael C. Rockefeller Wing,Maori people,,,,Ear ornament,321287,True,2013.0,Curved Ear Ornament (Kapeu) Greenstone (nephrite),49,other,5.54,1,6,0.16666666666666666,['ear']
Seal Stone,,10th–11th century,Carnelian; incised,Seals,Islamic Art,,,,,Seal,449312,True,1938.0,Seal Stone Carnelian; incised,29,other,5.45,2,4,0.5,"['seal', 'stone']"
Cows Crossing a Ford,Jules Dupré,1836,Oil on canvas,Paintings,European Paintings,,,,,Painting,436241,True,1967.0,Cows Crossing a Ford Oil on canvas,34,other,5.327999999999999,5,7,0.7142857142857143,"['crossing', 'a', 'ford', 'oil', 'on']"
Portrait of a Woman,Giovanni Battista Gaulli (Il Baciccio),ca. 1670s,Oil on canvas,Paintings,European Paintings,,,,,Painting,643540,True,2014.0,Portrait of a Woman Oil on canvas,33,portrait,5.646666666666667,6,7,0.8571428571428571,"['portrait', 'of', 'a', 'woman', 'oil', 'on']"
A Peasant Family,Antoine Le Nain,ca. 1640–48,Oil on copper,Paintings,European Paintings,,,,,Painting,438779,True,2023.0,A Peasant Family Oil on copper,30,other,5.75,6,6,1.0,"['a', 'peasant', 'family', 'oil', 'on', 'copper']"
Eighteen Songs of a Nomad Flute: The Story of Lady Wenji,Unidentified artist,early 15th century,"Handscroll; ink, color, and gold on silk",Paintings,Asian Art,China,Ming dynasty (1368–1644),,,Handscroll,39569,True,1973.0,"Eighteen Songs of a Nomad Flute: The Story of Lady Wenji Handscroll; ink, color, and gold on silk",97,other,6.0114285714285725,14,18,0.7777777777777778,"['eighteen', 'songs', 'of', 'a', 'the', 'story', 'of', 'lady', 'ink', 'color', 'and', 'gold', 'on', 'silk']"
Holy Family with an Angel,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),ca. 1490,"Tempera on canvas, transferred from wood",Paintings,European Paintings,,,,,Painting,437368,True,1914.0,"Holy Family with an Angel Tempera on canvas, transferred from wood",66,other,6.076666666666666,9,11,0.8181818181818182,"['holy', 'family', 'with', 'an', 'angel', 'on', 'transferred', 'from', 'wood']"
The Crucifixion,Gerard David,ca. 1495,Oil on wood,Paintings,European Paintings,,,,,Painting,436098,True,1909.0,The Crucifixion Oil on wood,27,other,5.369999999999999,4,5,0.8,"['the', 'oil', 'on', 'wood']"
Christ Blessing,Gerard David,ca. 1500–1505,Oil on wood,Paintings,European Paintings,,,,,Painting,439327,True,2009.0,Christ Blessing Oil on wood,27,other,6.012,5,5,1.0,"['christ', 'blessing', 'oil', 'on', 'wood']"
Songs of Innocence: On Anothers Sorrow,William Blake,[1789] printed ca. 1825,Relief etching printed in orange-brown ink and hand-colored with watercolor and shell gold,Prints,Drawings and Prints,,,,,Print,347936,True,1917.0,Songs of Innocence: On Anothers Sorrow Relief etching printed in orange-brown ink and hand-colored with watercolor and shell gold,129,sorrow,5.735,18,21,0.8571428571428571,"['songs', 'of', 'innocence', 'on', 'sorrow', 'relief', 'printed', 'in', 'orange', 'brown', 'ink', 'and', 'hand', 'colored', 'with', 'and', 'shell', 'gold']"
The Peasant Wedding Dance,Pieter van der Heyden,after 1570,Engraving; first state of three,Prints,Drawings and Prints,,,,,Print,338711,True,1933.0,The Peasant Wedding Dance Engraving; first state of three,57,other,5.92,8,9,0.8888888888888888,"['the', 'peasant', 'wedding', 'dance', 'first', 'state', 'of', 'three']"
Diptych with Scenes from the Lives of Jesus and Mary,,ca. 1350,Elephant ivory with metal mounts,Ivories-Elephant,Medieval Art,French,,,,Diptych,464251,True,1917.0,Diptych with Scenes from the Lives of Jesus and Mary Elephant ivory with metal mounts,85,other,5.61090909090909,11,15,0.7333333333333333,"['with', 'scenes', 'from', 'the', 'lives', 'of', 'jesus', 'and', 'mary', 'with', 'metal']"
Dwarf (one of a pair),Villeroy,ca. 1740–45,Tin-glazed soft-paste porcelain decorated in polychrome enamels,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,,,Figure,207157,True,1982.0,Dwarf (one of a pair) Tin-glazed soft-paste porcelain decorated in polychrome enamels,85,war,5.491428571428571,7,14,0.5,"['one', 'of', 'a', 'pair', 'tin', 'soft', 'in']"
Dwarf (one of a pair),Villeroy,ca. 1740–45,Tin-glazed soft-paste porcelain decorated in polychrome enamels,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,,,Figure,237451,True,1982.0,Dwarf (one of a pair) Tin-glazed soft-paste porcelain decorated in polychrome enamels,85,war,5.491428571428571,7,14,0.5,"['one', 'of', 'a', 'pair', 'tin', 'soft', 'in']"
The Prince and the Petitioner,Vali Jan,late 16th century,Ink and gold on paper,Codices,Islamic Art,,,,,Illustrated single work,450605,True,1945.0,The Prince and the Petitioner Ink and gold on paper,51,other,5.702222222222222,9,10,0.9,"['the', 'prince', 'and', 'the', 'ink', 'and', 'gold', 'on', 'paper']"
Bowl,,15th century,Stonepaste; painted in blue and black under transparent glaze,Ceramics,Islamic Art,,,,,Bowl,448663,True,1932.0,Bowl Stonepaste; painted in blue and black under transparent glaze,66,other,5.368571428571428,7,10,0.7,"['bowl', 'painted', 'in', 'blue', 'and', 'black', 'under']"
